County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
King,Seattle,WA,98125,2023,TESLA,MODEL S,1,3,0,0,46,250939636,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033000900
King,Seattle,WA,98146,2022,TESLA,MODEL S,1,3,0,0,34,218097309,-122.3551826 47.5000521,CITY OF SEATTLEWACITY OF TACOMAWA,53033012100
King,Bellevue,WA,98004,2023,TESLA,MODEL Y,1,3,0,0,41,256101492,-122.1872 47.61001,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033023807
King,Seattle,WA,98115,2022,TESLA,MODEL 3,1,3,0,0,46,269700609,-122.3008235 47.6862671,CITY OF SEATTLEWACITY OF TACOMAWA,53033002000
Clark,Washougal,WA,98671,2022,VOLVO,S60,0,1,41,0,18,264363998,-122.317523 45.595997,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011040510
Snohomish,Snohomish,WA,98296,2022,TESLA,MODEL 3,1,3,0,0,44,211688473,-122.121841 47.841036,PUGET SOUND ENERGY INC,53061052122
Clark,La Center,WA,98629,2024,KIA,SPORTAGE,0,1,34,0,18,270722420,-122.631475 45.887713,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011040201
King,Bellevue,WA,98006,2015,FORD,FOCUS,1,1,76,0,41,247897002,-122.144149 47.560742,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033025001
Kitsap,Olalla,WA,98359,2021,VOLKSWAGEN,ID.4,1,3,0,0,26,244176019,-122.5730403 47.4282964,PUGET SOUND ENERGY INC,53035092802
King,North Bend,WA,98045,2015,TESLA,MODEL S,1,1,208,0,5,115813239,-121.7705205 47.4816922,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032704
King,Seattle,WA,98144,2023,VOLKSWAGEN,ID.4,1,3,0,0,37,261659583,-122.3016563 47.5858977,CITY OF SEATTLEWACITY OF TACOMAWA,53033010002
King,Kirkland,WA,98034,2014,FORD,FUSION,0,2,19,0,1,233619235,-122.2026532 47.7210518,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022300
King,Renton,WA,98058,2024,TESLA,MODEL Y,1,3,0,0,11,270917272,-122.1476337 47.4438471,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029304
King,Renton,WA,98056,2024,TESLA,MODEL 3,1,3,0,0,41,272047373,-122.1819876 47.5098889,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033025304
King,Seattle,WA,98133,2024,TESLA,MODEL 3,1,3,0,0,46,267710509,-122.342434 47.736655,CITY OF SEATTLEWACITY OF TACOMAWA,53033000602
King,Bellevue,WA,98005,2023,RIVIAN,R1S,1,3,0,0,41,259067196,-122.167394 47.614119,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033023601
King,Kirkland,WA,98033,2024,VOLVO,XC40,1,3,0,0,48,270869994,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022501
King,Redmond,WA,98052,2022,NISSAN,LEAF,1,3,0,0,48,185557228,-122.13158 47.67858,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032324
King,Kirkland,WA,98033,2020,CHEVROLET,BOLT EV,1,1,259,0,48,8621308,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022501
Clark,Camas,WA,98607,2023,TESLA,MODEL Y,1,3,0,0,18,254551797,-122.4220033 45.6092439,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011040610
King,Kirkland,WA,98033,2017,TESLA,MODEL X,1,1,200,0,48,218279022,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022501
King,Seattle,WA,98112,2021,TESLA,MODEL Y,1,3,0,0,43,133704350,-122.30207 47.64085,CITY OF SEATTLEWACITY OF TACOMAWA,53033006400
King,Bellevue,WA,98004,2021,TESLA,MODEL Y,1,3,0,0,48,178913311,-122.1872 47.61001,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033024002
King,Woodinville,WA,98072,2018,TESLA,MODEL 3,1,1,215,0,45,475155859,-122.1368031 47.7621254,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033021802
King,Medina,WA,98039,2019,TESLA,MODEL 3,1,1,220,0,48,475910298,-122.2363532 47.621118,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033024200
King,Seattle,WA,98125,2014,NISSAN,LEAF,1,1,84,0,46,204958645,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033000800
King,Renton,WA,98058,2023,TESLA,MODEL Y,1,3,0,0,11,249612170,-122.1476337 47.4438471,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029304
King,Kent,WA,98031,2023,TESLA,MODEL Y,1,3,0,0,47,256298934,-122.201564 47.402358,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029403
King,Tukwila,WA,98188,2023,HYUNDAI,KONA ELECTRIC,1,3,0,0,11,251123288,-122.29179 47.43473,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028200
Snohomish,Mukilteo,WA,98275,2024,JEEP,GRAND CHEROKEE,0,2,25,0,21,264693985,-122.29943 47.912654,PUGET SOUND ENERGY INC,53061042001
King,Mercer Island,WA,98040,2023,KIA,EV6,1,3,0,0,41,255463813,-122.2283088 47.5737238,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033024500
King,Seattle,WA,98119,2020,TESLA,MODEL Y,1,1,291,0,36,108200396,-122.3684 47.64586,CITY OF SEATTLEWACITY OF TACOMAWA,53033007001
King,Auburn,WA,98001,2024,RIVIAN,R1S,1,3,0,0,47,267776029,-122.2651204 47.3164638,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029902
King,Shoreline,WA,98155,2022,TESLA,MODEL Y,1,3,0,0,32,194631384,-122.301507 47.761784,CITY OF SEATTLEWACITY OF TACOMAWA,53033020500
King,Kirkland,WA,98033,2016,TESLA,MODEL S,1,1,210,0,48,166091110,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022702
Cowlitz,Woodland,WA,98674,2023,TESLA,MODEL Y,1,3,0,0,20,257390346,-122.7050688 45.9237749,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF COWLITZ COUNTY,53015001503
King,Sammamish,WA,98075,2023,TESLA,MODEL Y,1,3,0,0,41,238888772,-122.0181135 47.5880568,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032224
Thurston,Olympia,WA,98501,2021,TESLA,MODEL Y,1,3,0,0,35,144352666,-122.8733203 47.0133209,PUGET SOUND ENERGY INC,53067011821
King,Seattle,WA,98109,2022,VOLVO,C40,1,3,0,0,36,193766051,-122.35022 47.63824,CITY OF SEATTLEWACITY OF TACOMAWA,53033006703
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,0,2,21,0,11,238560612,-122.29179 47.43473,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028200
King,Seattle,WA,98125,2023,RIVIAN,R1T,1,3,0,0,46,260241488,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033001000
King,Renton,WA,98058,2023,KIA,NIRO,0,1,33,0,11,230063515,-122.1476337 47.4438471,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033025704
Clark,Vancouver,WA,98664,2023,MERCEDES-BENZ,EQB-CLASS,1,3,0,0,49,258010798,-122.575383 45.620105,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011041205
King,Issaquah,WA,98027,2023,TESLA,MODEL Y,1,3,0,0,5,252412947,-122.0402383 47.5276876,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032104
King,Seattle,WA,98125,2023,TESLA,MODEL Y,1,3,0,0,46,258107958,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033000601
King,Kirkland,WA,98033,2023,TESLA,MODEL Y,1,3,0,0,48,260856977,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022501
King,Redmond,WA,98052,2023,TESLA,MODEL Y,1,3,0,0,45,260774097,-122.13158 47.67858,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032323
King,Maple Valley,WA,98038,2024,BMW,I4,1,3,0,0,5,262193151,-122.0310296 47.3861675,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032011
Kitsap,Port Orchard,WA,98367,2011,NISSAN,LEAF,1,1,73,0,26,279030461,-122.6530052 47.4739066,PUGET SOUND ENERGY INC,53035092802
King,Burien,WA,98166,2022,TESLA,MODEL 3,1,3,0,0,34,186113819,-122.3472273 47.4568458,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033027800
King,Seattle,WA,98134,2024,BMW,I4,1,3,0,0,37,271066862,-122.3290729 47.5773571,CITY OF SEATTLEWACITY OF TACOMAWA,53033009300
King,Seattle,WA,98125,2021,TESLA,MODEL Y,1,3,0,0,46,183291048,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033000900
Cowlitz,Kalama,WA,98625,2023,TESLA,MODEL Y,1,3,0,0,20,244345923,-122.8116866 45.9959901,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF COWLITZ COUNTY,53015001601
King,Maple Valley,WA,98038,2021,TESLA,MODEL 3,1,3,0,0,5,185720048,-122.0310296 47.3861675,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032011
King,Seatac,WA,98148,2023,CHEVROLET,BOLT EV,1,3,0,0,33,272574816,-122.3300442 47.4483434,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028500
King,Seattle,WA,98177,2024,HYUNDAI,IONIQ 5,1,3,0,0,36,263216257,-122.3691687 47.7403542,CITY OF SEATTLEWACITY OF TACOMAWA,53033001600
King,Seattle,WA,98177,2017,BMW,I3,0,1,97,0,32,229795170,-122.3691687 47.7403542,CITY OF SEATTLEWACITY OF TACOMAWA,53033000500
King,Seattle,WA,98178,2022,TESLA,MODEL Y,1,3,0,0,37,206921263,-122.2453 47.499708,CITY OF SEATTLEWACITY OF TACOMAWA,53033011902
King,Bellevue,WA,98006,2021,TESLA,MODEL Y,1,3,0,0,41,144840391,-122.144149 47.560742,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033024902
